"","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Continent"
"1","North America","1,319,003","+27,922","76,773","+1,620","232,311","1,009,919","17,295","","","","","North America"
"2","Europe","1,469,911","+22,408","142,143","+1,540","554,865","772,903","16,949","","","","","Europe"
"3","Asia","572,839","+14,037","20,078","+461","305,077","247,684","5,294","","","","","Asia"
"4","South America","224,274","+12,462","11,268","+428","78,385","134,621","9,938","","","","","South America"
"5","Africa","48,075","+2,695","1,848","+46","16,231","29,996","129","","","","","Africa"
"6","Oceania","8,414","+24","115","","7,225","1,074","30","","","","","Australia/Oceania"
"7","","721","","15","","645","61","4","","","","",""
"8","World","3,643,237","+79,548","252,240","+4,095","1,194,739","2,196,258","49,639","467","32.4","","","All"
"9","USA","1,212,801","+24,679","69,920","+1,323","188,027","954,854","16,050","3,664","211","7,462,431","22,545","North America"
"10","Spain","248,301","+1,179","25,428","+164","151,633","71,240","2,254","5,311","544","1,932,455","41,332","Europe"
"11","Italy","211,938","+1,221","29,079","+195","82,879","99,980","1,479","3,505","481","2,191,403","36,244","Europe"
"12","UK","190,584","+3,985","28,734","+288","N/A","161,506","1,559","2,807","423","1,291,591","19,026","Europe"
"13","France","169,462","+769","25,201","+306","51,371","92,890","3,696","2,596","386","1,100,228","16,856","Europe"
"14","Germany","166,152","+488","6,993","+127","132,700","26,459","1,949","1,983","83","2,547,052","30,400","Europe"
"15","Russia","145,268","+10,581","1,356","+76","18,095","125,817","2,300","995","9","4,300,000","29,465","Europe"
"16","Turkey","127,659","+1,614","3,461","+64","68,166","56,032","1,384","1,514","41","1,171,138","13,886","Asia"
"17","Brazil","108,266","+7,119","7,343","+318","45,815","55,108","8,318","509","35","339,552","1,597","South America"
"18","Iran","98,647","+1,223","6,277","+74","79,379","12,991","2,676","1,174","75","508,288","6,052","Asia"
"19","Canada","60,772","+1,298","3,854","+172","26,017","30,901","557","1,610","102","919,368","24,359","North America"
"20","Belgium","50,267","+361","7,924","+80","12,378","29,965","655","4,337","684","440,700","38,025","Europe"
"21","Peru","47,372","+1,444","1,344","+58","14,427","31,601","694","1,437","41","385,492","11,692","South America"
"22","India","46,437","+3,932","1,566","+175","12,847","32,024","","34","1","1,107,233","802","Asia"
"23","Netherlands","40,770","+199","5,082","+26","N/A","35,438","683","2,379","297","235,909","13,768","Europe"
"24","Ecuador","31,881","+2,343","1,569","+5","3,433","26,879","159","1,807","89","80,171","4,544","South America"
"25","Switzerland","29,981","+76","1,784","+22","25,200","2,997","141","3,464","206","282,750","32,670","Europe"
"26","Saudi Arabia","28,656","+1,645","191","+7","4,476","23,989","143","823","5","365,093","10,487","Asia"
"27","Portugal","25,524","+242","1,063","+20","1,712","22,749","143","2,503","104","450,000","44,132","Europe"
"28","Mexico","23,471","+1,383","2,154","+93","13,447","7,870","378","182","17","93,791","727","North America"
"29","Sweden","22,721","+404","2,769","+90","4,074","15,878","455","2,250","274","119,500","11,833","Europe"
"30","Ireland","21,772","+266","1,319","+16","13,386","7,067","93","4,409","267","169,377","34,302","Europe"
"31","Pakistan","20,941","+857","476","+19","5,635","14,830","111","95","2","212,511","962","Asia"
"32","Chile","20,643","+980","270","+10","10,415","9,958","464","1,080","14","214,131","11,202","South America"
"33","Singapore","18,778","+573","18","","1,457","17,303","22","3,210","3","143,919","24,600","Asia"
"34","Belarus","17,489","+784","103","+4","3,259","14,127","92","1,851","11","211,369","22,369","Europe"
"35","Israel","16,246","+38","235","+3","10,064","5,947","70","1,877","27","404,285","46,708","Asia"
"36","Qatar","16,191","+640","12","","1,810","14,369","72","5,620","4","106,795","37,068","Asia"
"37","Austria","15,621","+24","600","+2","13,316","1,705","111","1,734","67","279,071","30,986","Europe"
"38","Japan","15,078","+201","536","+49","4,156","10,386","328","119","4","184,586","1,459","Asia"
"39","UAE","14,730","+567","137","+11","2,966","11,627","1","1,489","14","1,200,000","121,330","Asia"
"40","Poland","14,006","+313","698","+20","4,095","9,213","160","370","18","383,804","10,141","Europe"
"41","Romania","13,512","+349","818","+28","5,269","7,425","243","702","43","199,068","10,348","Europe"
"42","Ukraine","12,331","+418","303","+15","1,619","10,409","160","282","7","134,592","3,078","Europe"
"43","Indonesia","11,587","+395","864","+19","1,954","8,769","","42","3","116,861","427","Asia"
"44","S. Korea","10,801","+8","252","+2","9,217","1,332","55","211","5","633,921","12,365","Asia"
"45","Bangladesh","10,143","+688","182","+5","1,209","8,752","1","62","1","87,694","532","Asia"
"46","Denmark","9,670","+147","493","+9","7,088","2,089","57","1,669","85","244,791","42,262","Europe"
"47","Serbia","9,557","+93","197","+4","1,574","7,786","53","1,094","23","106,461","12,185","Europe"
"48","Philippines","9,485","+262","623","+16","1,315","7,547","31","87","6","126,164","1,151","Asia"
"49","Dominican Republic","8,235","+281","346","+13","1,771","6,118","144","759","32","33,377","3,077","North America"
"50","Colombia","7,973","+305","358","+18","1,807","5,808","120","157","7","123,029","2,418","South America"
"51","Norway","7,904","+57","214","+3","32","7,658","27","1,458","39","182,285","33,624","Europe"
"52","Czechia","7,819","+38","252","+4","3,807","3,760","58","730","24","261,548","24,423","Europe"
"53","South Africa","7,220","+437","138","+7","2,746","4,336","36","122","2","257,541","4,342","Africa"
"54","Panama","7,197","+107","200","+3","641","6,356","91","1,668","46","34,459","7,986","North America"
"55","Australia","6,825","+24","95","","5,859","871","28","268","4","650,214","25,499","Australia/Oceania"
"56","Egypt","6,813","+348","436","+7","1,632","4,745","","67","4","90,000","879","Africa"
"57","Malaysia","6,353","+55","105","","4,484","1,764","28","196","3","205,598","6,352","Asia"
"58","Finland","5,327","+73","240","+10","3,500","1,587","49","961","43","103,500","18,680","Europe"
"59","Kuwait","5,278","+295","40","+2","1,947","3,291","79","1,236","9","196,397","45,988","Asia"
"60","Morocco","5,053","+150","179","+5","1,653","3,221","1","137","5","45,302","1,227","Africa"
"61","Argentina","4,887","+104","260","+14","1,442","3,185","157","108","6","67,920","1,503","South America"
"62","Algeria","4,648","+174","465","+2","1,998","2,185","22","106","11","6,500","148","Africa"
"63","Moldova","4,248","+127","132","+7","1,423","2,693","237","1,053","33","20,447","5,069","Europe"
"64","Kazakhstan","4,049","+129","29","+2","1,173","2,847","40","216","2","306,861","16,343","Asia"
"65","Luxembourg","3,828","+4","96","","3,405","327","21","6,115","153","48,339","77,222","Europe"
"66","Bahrain","3,533","+150","8","","1,744","1,781","1","2,076","5","149,586","87,910","Asia"
"67","Hungary","3,035","+37","351","+11","630","2,054","55","314","36","83,958","8,691","Europe"
"68","Thailand","2,987","+18","54","","2,740","193","61","43","0.8","227,860","3,264","Asia"
"69","Afghanistan","2,894","+190","90","+5","397","2,407","7","74","2","11,068","284","Asia"
